[14:09:42] Traffic monitoring started
[14:09:42] listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
[14:10:05] 14:10:05.554643 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:07] 14:10:07.555697 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:07] 14:10:07.555721 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:09] 14:10:09.556565 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:09] 14:10:09.556585 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:11] 14:10:11.558086 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:11] 14:10:11.558165 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:13] 14:10:13.560277 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:13] 14:10:13.560308 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:15] 14:10:15.561907 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:15] 14:10:15.562017 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:17] 14:10:17.562857 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:17] 14:10:17.562898 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:19] 14:10:19.563372 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:19] 14:10:19.563397 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:21] 14:10:21.571517 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:21] 14:10:21.571546 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:23] 14:10:23.493081 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:23] 14:10:23.493173 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:25] 14:10:25.493573 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:25] 14:10:25.493598 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:27] 14:10:27.494033 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:27] 14:10:27.494073 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:29] 14:10:29.494765 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:29] 14:10:29.494797 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:31] 14:10:31.495272 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:31] 14:10:31.495312 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:33] 14:10:33.495984 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:33] 14:10:33.496014 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:35] 14:10:35.498065 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:35] 14:10:35.498106 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:37] 14:10:37.499453 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:37] 14:10:37.499495 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:39] 14:10:39.499918 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:39] 14:10:39.499939 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:41] 14:10:41.501405 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:41] 14:10:41.501448 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:43] 14:10:43.502113 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:43] 14:10:43.502135 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:45] 14:10:45.507334 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:45] 14:10:45.507375 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:47] 14:10:47.507916 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:47] 14:10:47.507937 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:49] 14:10:49.516826 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:49] 14:10:49.516857 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:51] 14:10:51.525063 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:51] 14:10:51.525094 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:53] 14:10:53.440209 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:53] 14:10:53.440229 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:55] 14:10:55.440605 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:55] 14:10:55.440629 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:57] 14:10:57.440926 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:57] 14:10:57.440946 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:59] 14:10:59.441275 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:59] 14:10:59.441298 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:01] 14:11:01.441655 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:01] 14:11:01.441692 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:03] 14:11:03.442564 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:03] 14:11:03.442619 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:05] 14:11:05.443923 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:05] 14:11:05.443964 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:07] 14:11:07.444425 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:07] 14:11:07.444457 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:09] 14:11:09.445203 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:09] 14:11:09.445226 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:11] 14:11:11.446001 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:11] 14:11:11.446022 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:13] 14:11:13.454315 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:13] 14:11:13.454358 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:15] 14:11:15.458858 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:15] 14:11:15.458887 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:17] 14:11:17.463336 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:17] 14:11:17.463367 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:19] 14:11:19.470755 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:19] 14:11:19.470787 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:21] 14:11:21.476213 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:21] 14:11:21.476244 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:23] 14:11:23.395607 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:23] 14:11:23.395648 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:25] 14:11:25.396114 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:25] 14:11:25.396136 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:27] 14:11:27.396722 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:27] 14:11:27.396762 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:29] 14:11:29.397503 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:29] 14:11:29.397543 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:31] 14:11:31.398080 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:31] 14:11:31.398123 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:33] 14:11:33.399085 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:33] 14:11:33.399109 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:35] 14:11:35.399872 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:35] 14:11:35.399904 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:37] 14:11:37.400746 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:37] 14:11:37.400778 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:39] 14:11:39.404293 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:39] 14:11:39.404315 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:41] 14:11:41.409717 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:41] 14:11:41.409751 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:43] 14:11:43.415931 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:43] 14:11:43.415954 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:45] 14:11:45.419888 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:45] 14:11:45.419917 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:47] 14:11:47.422459 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:47] 14:11:47.422478 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:49] 14:11:49.426776 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:49] 14:11:49.426799 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:51] 14:11:51.432101 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:51] 14:11:51.432142 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:53] 14:11:53.348547 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:53] 14:11:53.348587 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:55] 14:11:55.349425 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:55] 14:11:55.349465 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:57] 14:11:57.350255 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:57] 14:11:57.350287 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:59] 14:11:59.350886 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:11:59] 14:11:59.350918 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:01] 14:12:01.351602 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:01] 14:12:01.351632 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:03] 14:12:03.352582 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:03] 14:12:03.352614 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:05] 14:12:05.353601 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:05] 14:12:05.353635 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:07] 14:12:07.356609 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:07] 14:12:07.356631 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:09] 14:12:09.363309 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:09] 14:12:09.363329 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:11] 14:12:11.368065 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:11] 14:12:11.368096 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:13] 14:12:13.375312 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:13] 14:12:13.375344 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:15] 14:12:15.377240 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:15] 14:12:15.377261 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:17] 14:12:17.380869 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:17] 14:12:17.380892 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:19] 14:12:19.386111 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:19] 14:12:19.386146 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:21] 14:12:21.390630 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:21] 14:12:21.390653 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:23] 14:12:23.288693 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:23] 14:12:23.288721 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:25] 14:12:25.289283 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:25] 14:12:25.289308 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:27] 14:12:27.289630 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:27] 14:12:27.289653 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:29] 14:12:29.290029 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:29] 14:12:29.290061 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:31] 14:12:31.290627 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:31] 14:12:31.290646 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:33] 14:12:33.292241 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:33] 14:12:33.292261 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:35] 14:12:35.294091 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:35] 14:12:35.294112 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:37] 14:12:37.296170 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:37] 14:12:37.296192 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:39] 14:12:39.301858 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:39] 14:12:39.301880 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:41] 14:12:41.310094 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:41] 14:12:41.310170 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:43] 14:12:43.317810 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:43] 14:12:43.317841 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:45] 14:12:45.321891 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:45] 14:12:45.321932 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:47] 14:12:47.324796 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:47] 14:12:47.324837 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:49] 14:12:49.329235 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:49] 14:12:49.329276 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:51] 14:12:51.332976 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:51] 14:12:51.333017 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:53] 14:12:53.232174 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:53] 14:12:53.232212 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:55] 14:12:55.232760 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:55] 14:12:55.232804 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:57] 14:12:57.233149 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:57] 14:12:57.233168 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:59] 14:12:59.233448 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:12:59] 14:12:59.233472 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:01] 14:13:01.233902 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:01] 14:13:01.233927 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:03] 14:13:03.235323 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:03] 14:13:03.235355 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:05] 14:13:05.237095 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:05] 14:13:05.237145 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:07] 14:13:07.238561 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:07] 14:13:07.238601 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:09] 14:13:09.241197 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:09] 14:13:09.241238 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:11] 14:13:11.246313 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:11] 14:13:11.246353 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:13] 14:13:13.250941 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:13] 14:13:13.250962 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:15] 14:13:15.251842 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:15] 14:13:15.251880 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:17] 14:13:17.252320 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:17] 14:13:17.252347 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:19] 14:13:19.260056 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:19] 14:13:19.260097 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:21] 14:13:21.267910 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:21] 14:13:21.267953 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:23] 14:13:23.169142 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:23] 14:13:23.169190 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:25] 14:13:25.170097 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:25] 14:13:25.170138 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:27] 14:13:27.170669 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:27] 14:13:27.170696 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:29] 14:13:29.171104 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:29] 14:13:29.171128 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:31] 14:13:31.171817 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:31] 14:13:31.171857 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:33] 14:13:33.173196 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:33] 14:13:33.173239 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:35] 14:13:35.174603 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:35] 14:13:35.174644 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:37] 14:13:37.176203 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:37] 14:13:37.176243 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:39] 14:13:39.177678 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:39] 14:13:39.177711 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:41] 14:13:41.183689 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:13:41] 14:13:41.183729 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
